Final Cluster form at iteration::8
Cluster Id:	Points ID
1		[1, 2, 8, 17, 61, 94, 98, 99]
2		[7, 15, 62, 66, 81, 87]
3		[4, 32, 60, 64]
4		[3, 16, 25, 42, 80, 100]
5		[23, 30, 35, 45, 46, 47, 67, 76, 86]
6		[9, 44, 49, 90]
7		[18, 21, 69, 74]
8		[5, 31, 43, 79]
9		[38, 52, 56, 59]
10		[24, 29, 34, 39, 51, 53, 57, 58, 63, 65]
11		[10, 19, 27, 41, 54, 55, 73, 77, 78, 85, 88, 89]
12		[6, 12, 13, 20, 75, 93, 97]
13		[11, 22, 28, 37, 68, 70, 71, 72, 92]
14		[36, 48, 82, 95, 96]
15		[14, 26, 33, 40, 50, 83, 84, 91]
SSE value : 0.46780919285714284
